parDenominacion,vot_parCodigo,vot_proCodigoProvincia
PARTIDO REPUBLICANO FEDERAL,00968,02
FRENTE DESPERTAR,00991,04
MORAL Y PROGRESO,00974,02
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01087,17
FRENTE NOS,01136,21
PARTIDO SOCIAL PATAGONICO,01165,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01054,11
VAMOS TODOS A VIVIR MEJOR,01162,24
MOVIMIENTO INDEPENDIENTE RENOVADOR,01117,21
CONSENSO FEDERAL,00951,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01077,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00978,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01044,10
FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,01039,09
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01154,23
JUNTOS POR EL CAMBIO,01109,20
FRENTE NOS,01137,21
CONSENSO FEDERAL,01016,06
MOVIMIENTO LIBRES DEL SUR,01144,22
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01025,07
ALTERNATIVA FEDERAL,01122,21
MOVIMIENTO AL SOCIALISMO,01075,15
MOVIMIENTO POLO SOCIAL CHUBUT,01021,07
JUNTOS POR EL CAMBIO,01110,20
PARTIDO POPULAR,01147,22
FRENTE DESPERTAR,00990,04
UNIR,01049,10
PARTIDO SOCIALISTA,01030,08
PARTIDO DEL OBRERO,01020,06
JUNTOS POR EL CAMBIO,01111,20
DEMOCRATA CRISTIANO,00954,01
JUNTOS POR EL CAMBIO,01112,20
PARTIDO DIGNIDAD POPULAR,00965,02
FRENTE NOS,01138,21
UNION POPULAR,00988,04
NUEVA IZQUIERDA,01036,08
FRENTE RENOVADOR AUTENTICO,01106,20
PARTIDO DIGNIDAD POPULAR,00958,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01105,19
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00955,01
PARTIDO DEL OBRERO,01071,14
PARTIDO DIGNIDAD CIUDADANA,01094,18
PARTIDO OBRERO,01161,24
NUEVA DIRIGENCIA,01098,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,01108,20
FRENTE NOS,01132,21
EL MOVIMIENTO,00953,01
