parDenominacion,vot_parCodigo,vot_proCodigoProvincia
MOVIMIENTO AL SOCIALISMO,00899,24
MOVIMIENTO DE ACCION VECINAL,00906,24
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,00903,09
MOVIMIENTO AL SOCIALISMO,00899,11
MOVIMIENTO AL SOCIALISMO,00899,20
MOVIMIENTO DE ACCION VECINAL,00906,07
FRENTE PATRIOTA,00902,11
PARTIDO AUTONOMISTA,00901,14
PARTIDO AUTONOMISTA,00901,15
PARTIDO AUTONOMISTA,00901,16
MOVIMIENTO DE ACCION VECINAL,00906,17
MOVIMIENTO DE ACCION VECINAL,00906,23
UNITE POR LA LIBERTAD Y LA DIGNIDAD,00905,03
MOVIMIENTO DE ACCION VECINAL,00906,09
MOVIMIENTO AL SOCIALISMO,00899,12
MOVIMIENTO AL SOCIALISMO,00899,13
PARTIDO AUTONOMISTA,00901,18
MOVIMIENTO DE ACCION VECINAL,00906,20
MOVIMIENTO AL SOCIALISMO,00899,22
MOVIMIENTO AL SOCIALISMO,00899,03
MOVIMIENTO AL SOCIALISMO,00899,09
PARTIDO AUTONOMISTA,00901,24
PARTIDO AUTONOMISTA,00901,10
PARTIDO AUTONOMISTA,00901,11
PARTIDO AUTONOMISTA,00901,20
PARTIDO AUTONOMISTA,00901,23
PARTIDO AUTONOMISTA,00901,12
FRENTE PATRIOTA,00902,12
MOVIMIENTO DE ACCION VECINAL,00906,12
PARTIDO AUTONOMISTA,00901,09
MOVIMIENTO DE ACCION VECINAL,00906,11
FRENTE PATRIOTA,00902,24
PARTIDO AUTONOMISTA,00901,03
