nombre,lista
FRENTE DE TODOS,900
JUNTOS POR EL CAMBIO,897
CONSENSO FEDERAL,904
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,903
FRENTE PATRIOTA,902
FRENTE NOS,898
UNITE POR LA LIBERTAD Y LA DIGNIDAD,905
MOVIMIENTO DE ACCION VECINAL,906
MOVIMIENTO AL SOCIALISMO,899
PARTIDO AUTONOMISTA,901
