codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00016,00024,00028,00029,00036,00037,00041,00050,00058,00061,00077,00108
01,001,Comuna 01,00003,000069,0,0,6,0,2,0,0,1,26,0,225,0,0,0,3
01,001,Comuna 01,00003,000070,0,0,4,0,2,0,0,2,37,0,196,0,0,0,2
01,001,Comuna 01,00003,000071,0,0,3,0,9,0,0,3,30,0,197,0,0,0,3
01,001,Comuna 01,00003,000072,0,0,2,0,5,0,0,5,34,0,195,0,0,0,2
01,001,Comuna 01,00003,000073,0,0,3,0,3,0,0,3,45,0,191,0,0,0,7
01,001,Comuna 01,00003,000074,0,0,5,0,4,0,0,3,35,0,192,0,0,0,5
01,001,Comuna 01,00004,000075,0,0,26,0,4,0,0,6,128,0,62,0,0,0,5
01,001,Comuna 01,00004,000076,0,0,27,0,7,0,0,4,158,0,49,0,0,0,1
01,001,Comuna 01,00004,000077,0,0,21,0,5,0,0,5,141,0,47,0,0,0,1
01,001,Comuna 01,00004,000078,0,0,26,0,9,0,0,6,124,0,59,0,0,0,2
01,001,Comuna 01,00004,000079,0,0,30,0,10,0,0,9,136,0,63,0,0,0,2
01,001,Comuna 01,00004,000080,0,0,19,0,5,0,0,9,162,0,49,0,0,0,2
01,001,Comuna 01,00004,000081,0,0,29,0,3,0,0,11,143,0,44,0,0,0,5
01,001,Comuna 01,00004,000082,0,0,14,0,6,0,0,3,137,0,53,0,0,0,5
01,001,Comuna 01,00004,000083,0,0,30,0,6,0,0,4,133,0,41,0,0,0,2
01,001,Comuna 01,00004,000084,0,0,27,0,5,0,0,3,142,0,38,0,0,0,2
01,001,Comuna 01,00004,000085,0,0,25,0,6,0,0,3,128,0,49,0,0,0,5
01,001,Comuna 01,00004,000086,0,0,19,0,7,0,0,4,148,0,61,0,0,0,2
01,001,Comuna 01,00004,000087,0,0,24,0,8,0,0,8,138,0,53,0,0,0,5
01,001,Comuna 01,00004,000088,0,0,29,0,7,0,0,13,144,0,56,0,0,0,4
01,001,Comuna 01,00004,000089,0,0,31,0,8,0,0,5,134,0,55,0,0,0,3
01,001,Comuna 01,00004,000090,0,0,34,0,9,0,0,4,137,0,44,0,0,0,4
01,001,Comuna 01,00004,000091,0,0,17,0,9,0,0,10,149,0,35,0,0,0,7
01,001,Comuna 01,00004,000092,0,0,23,0,4,0,0,5,141,0,33,0,0,0,4
01,001,Comuna 01,00004,000093,0,0,25,0,10,0,0,6,117,0,52,0,0,0,2
01,001,Comuna 01,00004,000094,0,0,22,0,5,0,0,5,120,0,66,0,0,0,4
01,001,Comuna 01,00004,000095,0,0,14,0,4,0,0,6,127,0,46,0,0,0,6
01,001,Comuna 01,00004,000096,0,0,21,0,1,0,0,5,128,0,53,0,0,0,0
01,001,Comuna 01,00004,000097,0,0,28,0,9,0,0,3,128,0,50,0,0,0,3
01,001,Comuna 01,00004,000098,0,0,32,0,7,0,0,5,133,0,64,0,0,0,3
01,001,Comuna 01,00004,000099,0,0,28,0,6,0,0,8,147,0,54,0,0,0,5
01,001,Comuna 01,00004,098516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,001,Comuna 01,00005,000102,0,0,3,0,9,0,0,7,39,0,218,0,0,0,0
01,001,Comuna 01,00005,000103,0,0,5,0,8,0,0,3,31,0,225,0,0,0,4
01,001,Comuna 01,00005,000104,0,0,8,0,2,0,0,3,21,0,203,0,0,0,15
01,001,Comuna 01,00005,000105,0,0,11,0,5,0,0,5,23,0,208,0,0,0,3
01,001,Comuna 01,00005,000106,0,0,7,0,5,0,0,1,15,0,218,0,0,0,9
01,001,Comuna 01,00005,000107,0,0,4,0,7,0,0,1,26,0,220,0,0,0,2
01,001,Comuna 01,00005,000108,0,0,2,0,7,0,0,4,29,0,212,0,0,0,5
01,001,Comuna 01,00005,000109,0,0,4,0,11,0,0,6,36,0,222,0,0,0,5
01,001,Comuna 01,00005,000110,0,0,1,0,5,0,0,6,32,0,207,0,0,0,7
01,001,Comuna 01,00005,000111,0,0,6,0,5,0,0,4,42,0,205,0,0,0,5
01,001,Comuna 01,00005,000112,0,0,1,0,8,0,0,3,35,0,212,0,0,0,6
01,001,Comuna 01,00005,000113,0,0,2,0,2,0,0,4,26,0,227,0,0,0,5
01,001,Comuna 01,00005,000114,0,0,8,0,8,0,0,5,22,0,217,0,0,0,9
01,001,Comuna 01,00005,000115,0,0,19,0,4,0,0,4,30,0,218,0,0,0,6
01,001,Comuna 01,00005,000116,0,0,4,0,10,0,0,2,33,0,204,0,0,0,6
01,001,Comuna 01,00005,000117,0,0,4,0,5,0,0,1,28,0,208,0,0,0,16
01,001,Comuna 01,00005,000118,0,0,8,0,6,0,0,2,20,0,218,0,0,0,6
01,001,Comuna 01,00005,000119,0,0,0,0,9,0,0,6,47,0,190,0,0,0,7
01,001,Comuna 01,00005,000120,0,0,4,0,1,0,0,3,18,0,255,0,0,0,6
01,001,Comuna 01,00005,000121,0,0,8,0,8,0,0,3,20,0,229,0,0,0,7
01,001,Comuna 01,00005,000122,0,0,5,0,4,0,0,6,30,0,199,0,0,0,5
01,001,Comuna 01,00005,000123,0,0,10,0,9,0,0,2,23,0,229,0,0,0,4
01,001,Comuna 01,00005,000124,0,0,9,0,3,0,0,2,29,0,205,0,0,0,8
01,001,Comuna 01,00005,000125,0,0,12,0,5,0,0,2,35,0,212,0,0,0,8
01,001,Comuna 01,00005,000126,0,0,3,0,6,0,0,2,29,0,215,0,0,0,6
01,001,Comuna 01,00005,000127,0,0,3,0,6,0,0,3,26,0,229,0,0,0,8
01,001,Comuna 01,00005,000128,0,0,4,0,10,0,0,1,26,0,215,0,0,0,5
01,001,Comuna 01,00005,000129,0,0,4,0,6,0,0,4,24,0,224,0,0,0,4
01,001,Comuna 01,00005,000130,0,0,2,0,3,0,0,4,30,0,224,0,0,0,5
01,001,Comuna 01,00005,000131,0,0,7,0,9,0,0,2,17,0,222,0,0,0,1
