codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00139,00146,00148,00136,00137,00138,00142,00143,00140,00144,00141,00145,00147,00149,00150
06,005,Sargento Cabral ,2286,56414,0,0,7,208,60,9,9,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2287,56424,0,0,6,208,59,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2298,56533,0,0,14,208,47,7,5,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2350,57296,0,0,9,208,59,10,7,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2351,57358,0,0,2,208,30,4,1,0,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,2381,57849,0,0,4,208,57,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2286,56420,0,0,3,207,57,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2298,56514,0,0,9,207,57,8,4,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2332,56958,0,0,5,207,31,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,021,12 de Octubre,2373,57704,0,0,5,207,56,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2385,57942,0,0,3,207,5,0,3,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2394,58032,0,0,0,207,27,4,5,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56528,0,0,15,206,52,14,4,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2350,57290,0,0,7,206,65,3,3,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2236,55310,0,0,10,60,205,4,8,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2284,56396,0,0,5,205,61,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2289,56450,0,0,6,205,44,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,015,25 de Mayo,2350,57291,0,0,9,205,47,10,5,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2285,56407,0,0,6,204,47,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,2286,56418,0,0,8,204,47,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56701,0,0,1,204,61,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,2321,56758,0,0,4,204,45,2,3,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56919,0,0,3,204,73,5,1,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56923,0,0,18,204,38,7,4,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2351,57357,0,0,7,204,39,0,0,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57432,0,0,6,204,38,0,10,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57481,0,0,6,204,43,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,018,General Belgrano,2361,57498,0,0,8,204,48,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,2282,56373,0,0,1,203,57,0,3,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2285,56401,0,0,8,203,33,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2297,56508,0,0,16,203,53,11,0,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57480,0,0,2,203,54,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,018,General Belgrano,2361,57483,0,0,7,203,33,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,2381,57831,0,0,2,203,39,2,3,0,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,2381,57841,0,0,8,203,39,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,2237,55328,0,0,8,52,202,9,4,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2239,55357,0,0,10,55,202,10,4,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2270,56274,0,0,17,202,53,14,11,0,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,2277,56342,0,0,23,202,52,7,6,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2297,56511,0,0,10,202,57,5,0,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2308,56615,0,0,12,202,54,6,6,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57482,0,0,4,202,62,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2383,57866,0,0,11,202,64,4,7,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2383,57892,0,0,5,202,33,6,5,0,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,2279,56369,0,0,5,201,32,3,7,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2297,56504,0,0,15,201,50,9,1,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56536,0,0,14,201,58,9,5,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56537,0,0,6,201,85,6,4,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56681,0,0,0,201,33,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56700,0,0,4,201,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,013,Comandante Fernández ,2335,57052,0,0,9,201,58,6,1,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2383,57855,0,0,4,201,49,8,7,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2284,56391,0,0,12,200,60,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56687,0,0,5,200,44,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56695,0,0,0,200,36,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,2320,56734,0,0,9,200,38,8,10,0,0,0,0,0,0,0,0,0,0,0
06,011,Mayor L. J. Fontana,2325,56858,0,0,15,200,43,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,2330,56931,0,0,1,200,55,4,6,0,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,2381,57824,0,0,11,200,32,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,2284,56394,0,0,12,199,54,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2308,56647,0,0,13,199,72,10,4,0,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,2320,56736,0,0,7,199,57,6,6,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2350,57293,0,0,8,199,57,10,7,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57433,0,0,4,199,38,6,14,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57475,0,0,1,199,48,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,2243,55440,0,0,11,198,52,7,11,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2270,56263,0,0,13,198,54,19,10,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2283,56375,0,0,13,198,74,4,4,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2288,56431,0,0,5,198,60,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2297,56509,0,0,16,198,56,8,4,0,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,2321,56759,0,0,8,198,42,5,4,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2351,57348,0,0,0,198,55,1,0,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57434,0,0,4,198,46,7,3,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57440,0,0,10,198,42,2,10,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2239,55351,0,0,5,63,197,14,2,0,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,2279,56367,0,0,0,197,34,5,1,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2285,56403,0,0,3,197,54,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2298,56529,0,0,14,197,53,11,6,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56679,0,0,0,197,27,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56688,0,0,1,197,46,6,3,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56927,0,0,4,197,56,2,3,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2351,57353,0,0,0,197,36,4,1,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2351,57356,0,0,6,197,45,0,1,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57441,0,0,7,197,41,9,12,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57490,0,0,6,197,60,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,2381,57835,0,0,1,197,37,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,2243,55439,0,0,12,196,50,17,3,0,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,2277,56341,0,0,17,196,76,14,8,0,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,2277,56352,0,0,16,196,66,9,8,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2287,56425,0,0,18,196,57,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2297,56500,0,0,10,196,41,6,3,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2308,56642,0,0,13,196,66,7,6,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56670,0,0,9,196,54,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,2320,56727,0,0,7,196,30,3,19,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2332,56951,0,0,3,196,32,4,3,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57494,0,0,10,196,49,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,018,General Belgrano,2361,57503,0,0,10,196,51,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,2381,57836,0,0,3,196,50,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2383,57882,0,0,4,196,44,4,9,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2237,55321,0,0,5,58,195,11,0,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2243,55438,0,0,12,195,50,19,12,0,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,2284,56392,0,0,3,195,58,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,2297,56510,0,0,0,195,50,14,4,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56666,0,0,11,195,48,4,3,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,2311,56683,0,0,0,195,41,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,2311,56693,0,0,2,195,53,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,011,Mayor L. J. Fontana,2325,56856,0,0,5,195,46,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,2332,56956,0,0,5,195,36,10,3,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57431,0,0,2,195,52,2,7,0,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,2361,57476,0,0,9,195,41,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2383,57865,0,0,4,195,61,7,9,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2236,55300,0,0,8,46,194,15,6,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2286,56408,0,0,3,194,54,7,4,0,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,2286,56415,0,0,19,194,56,6,2,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56522,0,0,3,194,80,7,4,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56523,0,0,15,194,69,5,3,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,2298,56527,0,0,9,194,67,6,4,0,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,2320,56751,0,0,4,194,47,9,7,0,0,0,0,0,0,0,0,0,0,0
06,011,Mayor L. J. Fontana,2325,56840,0,0,17,194,59,11,5,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56915,0,0,15,194,57,5,2,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56917,0,0,0,194,62,1,2,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2236,55302,0,0,11,59,193,0,1,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2237,55315,0,0,6,66,193,11,3,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2237,55327,0,0,7,50,193,7,6,0,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,2239,55348,0,0,15,49,193,6,7,0,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,2330,56933,0,0,7,193,73,3,2,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2350,57294,0,0,5,193,51,8,3,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,2350,57324,0,0,6,193,69,6,3,0,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,2358,57442,0,0,3,193,55,5,7,0,0,0,0,0,0,0,0,0,0,0
06,021,12 de Octubre,2373,57703,0,0,6,193,61,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,2381,57827,0,0,13,193,63,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,2383,57903,0,0,0,193,64,2,10,0,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,2394,58040,0,0,2,193,34,3,3,0,0,0,0,0,0,0,0,0,0,0
