codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00026,00032,00034,00023,00024,00025,00030,00027,00029,00028,00031,00033,00035,00036
06,015,25 de Mayo,02350,057296,0,0,10,208,58,10,7,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057357,0,0,3,208,39,0,0,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02351,057358,0,0,2,208,30,4,1,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,02381,057849,0,0,4,208,57,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,005,Sargento Cabral ,02286,056414,0,0,8,207,60,9,9,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02286,056420,0,0,3,207,57,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02332,056958,0,0,5,207,31,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,021,12 de Octubre,02373,057704,0,0,5,207,56,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02385,057942,0,0,3,207,5,0,3,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02394,058032,0,0,0,207,26,4,5,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02270,056274,0,0,12,206,54,14,11,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02286,056418,0,0,6,206,47,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,015,25 de Mayo,02350,057290,0,0,7,206,65,3,3,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057498,0,0,6,206,48,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,02236,055310,0,0,8,61,205,5,8,0,0,0,0,0,0,0,0,0,0
06,005,Sargento Cabral ,02289,056450,0,0,5,205,45,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02298,056528,0,0,16,205,52,14,4,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02308,056615,0,0,9,205,54,6,6,0,0,0,0,0,0,0,0,0,0
06,015,25 de Mayo,02350,057291,0,0,9,205,47,10,5,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02282,056373,0,0,1,204,57,0,3,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02284,056396,0,0,5,204,61,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,004,General Donovan,02285,056407,0,0,6,204,47,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056701,0,0,1,204,61,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,010,San Lorenzo ,02321,056758,0,0,4,204,45,2,3,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02330,056923,0,0,17,204,38,7,5,0,0,0,0,0,0,0,0,0,0
06,017,Independencia,02358,057432,0,0,6,204,38,0,10,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057481,0,0,6,204,43,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,018,General Belgrano,02361,057483,0,0,6,204,33,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,001,San Fernando,02237,055328,0,0,8,52,203,8,4,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02297,056508,0,0,16,203,53,11,0,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02308,056647,0,0,10,203,71,10,4,0,0,0,0,0,0,0,0,0,0
06,012,O'Higgins,02330,056919,0,0,3,203,74,4,1,0,0,0,0,0,0,0,0,0,0
06,018,General Belgrano,02361,057480,0,0,2,203,54,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,018,General Belgrano,02361,057482,0,0,2,203,62,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,02381,057831,0,0,2,203,39,2,3,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02277,056342,0,0,23,202,52,7,6,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02285,056401,0,0,9,202,33,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02297,056504,0,0,14,202,50,9,1,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02297,056511,0,0,10,202,57,5,0,0,0,0,0,0,0,0,0,0,0
06,007,Bermejo,02298,056536,0,0,13,202,58,9,5,0,0,0,0,0,0,0,0,0,0
06,013,Comandante Fernández ,02335,057052,0,0,8,202,57,7,1,0,0,0,0,0,0,0,0,0,0
06,024,Almirante Brown,02381,057841,0,0,9,202,39,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02383,057866,0,0,11,202,64,4,7,0,0,0,0,0,0,0,0,0,0
06,025,General Güemes,02383,057892,0,0,4,202,34,6,5,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02239,055357,0,0,11,55,201,10,4,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02270,056263,0,0,10,201,54,19,10,0,0,0,0,0,0,0,0,0,0
06,003,Libertad,02279,056369,0,0,5,201,32,3,7,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02308,056642,0,0,8,201,66,7,6,0,0,0,0,0,0,0,0,0,0
06,008,Libertador Gral. San Martín,02311,056681,0,0,0,201,33,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056687,0,0,4,201,44,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056695,0,0,0,201,36,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,008,Libertador Gral. San Martín,02311,056700,0,0,4,201,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,024,Almirante Brown,02381,057824,0,0,10,201,32,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,025,General Güemes,02383,057855,0,0,4,201,49,8,7,0,0,0,0,0,0,0,0,0,0
06,001,San Fernando,02243,055440,0,0,10,200,52,7,10,0,0,0,0,0,0,0,0,0,0
06,004,General Donovan,02284,056391,0,0,12,200,60,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,007,Bermejo,02298,056537,0,0,6,200,85,6,4,0,0,0,0,0,0,0,0,0,0
06,010,San Lorenzo ,02320,056734,0,0,10,200,38,8,10,0,0,0,0,0,0,0,0,0,0
06,011,Mayor L. J. Fontana,02325,056858,0,0,14,200,43,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06,012,O'Higgins,02330,056931,0,0,1,200,55,4,6,0,0,0,0,0,0,0,0,0,0
