codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0038,0047,0050,0061,0064,0160,0515,0523
13,Capital,001,0006 ,0059,327,10,3,NA,NA,33,22,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0060,329,8,2,NA,NA,21,25,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0061,329,2,13,NA,NA,16,26,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0062,329,8,2,NA,NA,19,28,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0063,328,8,2,NA,NA,14,27,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0064,328,6,8,NA,NA,32,27,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0065,328,6,0,NA,NA,17,29,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0066,328,5,4,NA,NA,20,0,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0067,328,8,7,NA,NA,28,15,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0068,328,7,2,NA,NA,13,27,NA,NA,NA,NA,NA
13,Capital,001,0007 ,0069,328,8,6,NA,NA,20,25,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0070,318,10,4,NA,NA,16,24,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0071,318,8,5,NA,NA,22,26,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0072,318,11,2,NA,NA,13,13,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0073,318,4,3,NA,NA,23,15,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0074,318,11,5,NA,NA,12,24,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0075,318,6,3,NA,NA,14,20,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0076,317,0,5,NA,NA,15,20,NA,NA,NA,NA,NA
13,Capital,001,0008 ,0077,317,0,5,NA,NA,12,23,NA,NA,NA,NA,NA
13,Capital,001,0009 ,0078,319,21,6,NA,NA,17,0,NA,NA,NA,NA,NA
13,Capital,001,0009 ,0079,319,5,3,NA,NA,19,23,NA,NA,NA,NA,NA
13,Capital,001,0009 ,0080,319,4,2,NA,NA,34,60,NA,NA,NA,NA,NA
13,Capital,001,0009 ,0081,319,1,6,NA,NA,21,15,NA,NA,NA,NA,NA
13,Capital,001,0009 ,0082,319,0,2,NA,NA,11,15,NA,NA,NA,NA,NA
13,Capital,001,0009 ,0083,319,9,6,NA,NA,16,23,NA,NA,NA,NA,NA
13,Capital,001,0009 ,0084,319,3,0,NA,NA,25,18,NA,NA,NA,NA,NA
13,Capital,001,0010 ,0085,309,3,4,NA,NA,13,16,NA,NA,NA,NA,NA
13,Capital,001,0010 ,0086,309,14,1,NA,NA,11,16,NA,NA,NA,NA,NA
13,Capital,001,0010 ,0087,309,13,4,NA,NA,15,6,NA,NA,NA,NA,NA
13,Capital,001,0010 ,0088,309,15,2,NA,NA,10,22,NA,NA,NA,NA,NA
13,Capital,001,0010 ,0089,309,8,5,NA,NA,11,14,NA,NA,NA,NA,NA
13,Capital,001,0011 ,0090,290,9,4,NA,NA,10,14,NA,NA,NA,NA,NA
13,Capital,001,0011 ,0091,290,14,1,NA,NA,14,14,NA,NA,NA,NA,NA
13,Capital,001,0011 ,0092,289,4,8,NA,NA,7,16,NA,NA,NA,NA,NA
13,Capital,001,0012 ,0093,298,4,5,NA,NA,9,24,NA,NA,NA,NA,NA
13,Capital,001,0012 ,0094,297,6,2,NA,NA,13,16,NA,NA,NA,NA,NA
13,Capital,001,0012 ,0095,297,8,6,NA,NA,20,22,NA,NA,NA,NA,NA
13,Capital,001,0012 ,0096,297,9,4,NA,NA,8,17,NA,NA,NA,NA,NA
13,Capital,001,0013 ,0097,293,0,0,NA,NA,16,0,NA,NA,NA,NA,NA
13,Capital,001,0013 ,0098,293,2,3,NA,NA,11,18,NA,NA,NA,NA,NA
13,Capital,001,0013 ,0099,293,0,0,NA,NA,5,13,NA,NA,NA,NA,NA
13,Capital,001,0013 ,0100,292,2,8,NA,NA,8,9,NA,NA,NA,NA,NA
13,Capital,001,0013 ,0101,292,0,0,NA,NA,4,13,NA,NA,NA,NA,NA
13,Capital,001,0013 ,0102,292,0,0,NA,NA,16,18,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0103,324,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0104,324,8,5,NA,NA,12,16,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0105,324,0,0,NA,NA,6,13,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0106,324,0,0,NA,NA,5,15,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0107,324,4,0,NA,NA,11,16,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0108,324,0,0,NA,NA,11,9,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0109,324,3,6,NA,NA,11,16,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0110,324,0,7,NA,NA,9,22,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0111,324,0,0,NA,NA,10,12,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0112,323,9,12,NA,NA,12,19,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0113,323,8,17,NA,NA,16,21,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0114,323,13,4,NA,NA,9,15,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0115,323,6,10,NA,NA,14,19,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0116,323,0,15,NA,NA,8,17,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0117,323,0,0,NA,NA,8,16,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0118,323,4,6,NA,NA,9,12,NA,NA,NA,NA,NA
13,Capital,001,0014 ,0119,323,9,7,NA,NA,12,16,NA,NA,NA,NA,NA
13,Capital,001,0015 ,0120,319,6,5,NA,NA,10,19,NA,NA,NA,NA,NA
13,Capital,001,0015 ,0121,319,0,0,NA,NA,19,18,NA,NA,NA,NA,NA
13,Capital,001,0015 ,0122,319,0,13,NA,NA,11,25,NA,NA,NA,NA,NA
13,Capital,001,0015 ,0123,318,5,7,NA,NA,12,24,NA,NA,NA,NA,NA
13,Capital,001,0015 ,0124,318,8,8,NA,NA,8,16,NA,NA,NA,NA,NA
13,Capital,001,0015 ,0125,318,2,4,NA,NA,13,33,NA,NA,NA,NA,NA
13,Capital,001,0016 ,0126,275,0,0,NA,NA,1,27,NA,NA,NA,NA,NA
13,Capital,001,0016 ,0127,275,0,8,NA,NA,24,16,NA,NA,NA,NA,NA
13,Capital,001,0016 ,0128,275,1,0,NA,NA,16,28,NA,NA,NA,NA,NA
13,Capital,001,0016 ,0129,275,9,0,NA,NA,9,19,NA,NA,NA,NA,NA
13,Capital,001,0016 ,0130,275,0,0,NA,NA,19,20,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0131,339,11,4,NA,NA,10,25,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0132,339,8,3,NA,NA,19,34,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0133,339,0,0,NA,NA,15,31,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0134,339,10,1,NA,NA,15,20,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0135,339,18,4,NA,NA,11,24,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0136,339,4,8,NA,NA,15,22,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0137,339,0,0,NA,NA,14,31,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0138,339,1,1,NA,NA,15,30,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0139,339,7,4,NA,NA,13,23,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0140,339,10,9,NA,NA,26,28,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0141,339,0,0,NA,NA,17,17,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0142,339,22,6,NA,NA,19,24,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0143,338,2,6,NA,NA,13,27,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0144,338,0,0,NA,NA,19,0,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0145,338,7,6,NA,NA,18,25,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0146,338,8,8,NA,NA,20,18,NA,NA,NA,NA,NA
13,Capital,001,0017 ,0147,338,3,6,NA,NA,14,15,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0148,334,21,4,NA,NA,20,30,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0149,334,5,3,NA,NA,15,38,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0150,334,17,9,NA,NA,12,21,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0151,334,1,7,NA,NA,20,25,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0152,334,5,1,NA,NA,20,27,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0153,334,13,2,NA,NA,12,37,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0154,334,0,0,NA,NA,15,28,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0155,334,8,10,NA,NA,21,19,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0156,334,11,7,NA,NA,9,25,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0157,333,5,12,NA,NA,31,29,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0158,333,6,6,NA,NA,24,32,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0159,333,5,6,NA,NA,12,36,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0160,333,2,9,NA,NA,14,24,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0161,333,3,8,NA,NA,18,35,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0162,333,12,0,NA,NA,8,25,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0163,333,6,3,NA,NA,18,33,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0164,333,21,2,NA,NA,17,33,NA,NA,NA,NA,NA
13,Capital,001,0018 ,0165,333,14,3,NA,NA,20,18,NA,NA,NA,NA,NA
13,Capital,001,0018A,0166,337,3,6,NA,NA,5,3,NA,NA,NA,NA,NA
13,Capital,001,0018A,0167,337,9,6,NA,NA,7,10,NA,NA,NA,NA,NA
13,Capital,001,0018A,0168,337,0,0,NA,NA,6,10,NA,NA,NA,NA,NA
13,Capital,001,0018A,0169,337,0,0,NA,NA,10,13,NA,NA,NA,NA,NA
13,Capital,001,0018A,0170,337,9,7,NA,NA,1,5,NA,NA,NA,NA,NA
13,Capital,001,0018A,0171,337,15,7,NA,NA,8,2,NA,NA,NA,NA,NA
13,Capital,001,0018A,0172,337,14,3,NA,NA,4,2,NA,NA,NA,NA,NA
13,Capital,001,0018A,0173,337,0,0,NA,NA,3,2,NA,NA,NA,NA,NA
13,Capital,001,0018A,0174,337,10,16,NA,NA,5,5,NA,NA,NA,NA,NA
13,Capital,001,0018A,0175,337,1,15,NA,NA,5,3,NA,NA,NA,NA,NA
13,Capital,001,0018A,0176,336,16,8,NA,NA,5,1,NA,NA,NA,NA,NA
13,Capital,001,0018A,0177,336,14,7,NA,NA,7,5,NA,NA,NA,NA,NA
13,Capital,001,0018A,0178,336,0,0,NA,NA,4,8,NA,NA,NA,NA,NA
13,Capital,001,0018A,0179,336,0,0,NA,NA,5,5,NA,NA,NA,NA,NA
13,Capital,001,0018A,0180,336,0,0,NA,NA,5,3,NA,NA,NA,NA,NA
13,Capital,001,0018A,0181,336,0,0,NA,NA,2,0,NA,NA,NA,NA,NA
13,Capital,001,0018A,0182,336,4,1,NA,NA,6,5,NA,NA,NA,NA,NA
13,Capital,001,0018A,0183,336,0,0,NA,NA,5,0,NA,NA,NA,NA,NA
13,Capital,001,0018A,0184,336,0,0,NA,NA,5,6,NA,NA,NA,NA,NA
13,Capital,001,0018A,0185,336,0,0,NA,NA,3,4,NA,NA,NA,NA,NA
13,Capital,001,0018A,0186,336,1,11,NA,NA,6,8,NA,NA,NA,NA,NA
